"ordernum","region_abbr","admin_division_code","cpt_type_code","urgency_code","water_type_code","wo_status_code","org_type_code","wq_cpt_type_code","dma_code","street","wutun","term","village","affect_building_no","building_tc","building_en","floor","isrepeatedcomplaint","relateorder","service_content","post","functionary","phone","coordinate_x","coordinate_y","region_receiving_date","create_time","finishtime","dm_update_time","dm_load_time"
"202505178427287554541",HKI,AD_HK_000005,CU_PE_100005,CU_EM_100002,WT_FC_000005,WO_PE_000003,CU_PE_000002,CP_WQ_000002,TWW_UH-DMA01,"","","","","1103044832",水滸坊,Housing Authority Headquarters,"2F",0,"202505178427287554549","(M)(P1) XX街 水滸坊 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Hu Yanzhuo,"91235006",819715.108000,817506.370000,2025-05-15 00:00:00.000,2025-05-15 00:00:00.000,2025-05-20 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505161427287554796",NTW,AD_NW_000003,CU_PE_100005,CU_EM_100002,WT_FC_000005,WO_PE_000001,CU_PE_000010,CP_WQ_000007,TAH-DMA02F,,,,,,,,,0,,"(M)(P1) XX街 XX花園第６座 XF, 粒粒 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/NTW(SD)2,Kong Liang,"91235209",828498.310000,833965.410000,2025-11-04 00:00:00.000,2025-11-04 00:00:00.000,2025-11-09 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554520",NTE,AD_HK_000005,CU_PE_100003,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000001,CP_WQ_000001,TWW_UH-DMA01,"","","","","1103044972",海堤居第１座,La Costa Block 1,"1F",0,"202505178427287554512","(M)(P1) XX街 海堤居第１座 XF, 集水區 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Xu Ning,"91235016",819886.517710,817411.551480,2025-04-24 00:00:00.000,2025-04-24 00:00:00.000,2025-04-29 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554514",NTE,AD_HK_000005,CU_PE_100007,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000006,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103045019",海堤居第１２座,La Costa Block 12,"3F",0,"202505178427287554512","(M)(P1) XX街 海堤居第１２座 XF, 黑點;黑粒 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Zhu Tong,"91235010",819990.504030,817394.814600,2025-04-18 00:00:00.000,2025-04-18 00:00:00.000,2025-04-23 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287551510",HKI,AD_HK_000002,CU_PE_100005,CU_EM_100002,WT_FC_000005,WO_PE_000003,CU_PE_000002,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122639",鳳山閣,Foong Shan Mansion,"6F",0,"202505178427287551519",(I)(P1)太古城鳳山閣6樓B室食水有黑點;黑粒,E/HKI(D1),Hu Yanzhuo,"91235006",840581.000000,816300.000000,2025-11-17 00:00:00.000,2025-11-17 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287551520",HKI,AD_HK_000002,CU_PE_100003,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000001,CP_WQ_000001,TWW_UH-DMA01,"","","","","1103122935",怡山閣,Yee Shan Mansion,"1F",0,"202505178427287551519",(I)(L1)太古城怡山閣1樓A室食水有集水區,E/HKI(D1),Xu Ning,"91235016",840543.000000,816262.000000,2025-11-21 00:00:00.000,2025-11-21 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287554519",NTE,AD_HK_000005,CU_PE_100002,CU_EM_100001,WT_FC_000005,WO_PE_000003,CU_PE_000011,CP_WQ_000008,TWW_UH-DMA01,"","","","","1103045019",海堤居第１２座,La Costa Block 12,"9F",0,"202505178427287554512","(M)(P1) XX街 海堤居第１２座 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Yang Zhi,"91235015",819990.504030,817394.814600,2025-04-23 00:00:00.000,2025-04-23 00:00:00.000,2025-04-28 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287551521",HKI,AD_HK_000002,CU_PE_100004,CU_EM_100001,WT_FC_000005,WO_PE_000002,CU_PE_000001,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122336",富山閣,Fu Shan Mansion,"9F",0,"202505178427287551519",(I)(P1)太古城富山閣9樓C室食水有黑點;黑粒,E/HKI(D1),Suo Chao,"91235017",840543.000000,816338.000000,2025-11-16 00:00:00.000,2025-11-16 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287554549",HKI,AD_HK_000005,CU_PE_100002,CU_EM_100001,WT_FC_000005,WO_PE_000003,CU_PE_000011,CP_WQ_000008,TWW_UH-DMA01,"","","","","1103044867",愉景灣醫療中心,Discovery Bay Medical Centre,"1F",0,"","(M)(P1) XX街 愉景灣醫療中心 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Yang Zhi,"91235015",819703.931000,817496.672000,2025-05-23 00:00:00.000,2025-05-23 00:00:00.000,2025-05-28 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554511",NTE,AD_HK_000005,CU_PE_100006,CU_EM_100001,WT_RW_000001,WO_PE_000001,CU_PE_000003,CP_WQ_000008,TWW_UH-DMA01,"","","","","1103044974",海堤居第９座,La Costa Block 9,"8F",0,"202505178427287554512","(M)(P1) XX街 海堤居第９座 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Hua Rong,"91235007",819953.233460,817418.588230,2025-04-15 00:00:00.000,2025-04-15 00:00:00.000,2025-04-20 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505161427287554795",NTW,AD_NW_000004,CU_PE_100005,CU_EM_100002,WT_FC_000005,WO_PE_000001,CU_PE_000010,CP_WQ_000007,TAH-DMA02F,,,,,,,,,0,,"(M)(P1) XX街 XX花園第６座 XF, 粒粒 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/NTW(SD)2,Kong Liang,"91235209",830995.050000,825845.300000,2025-11-04 00:00:00.000,2025-11-04 00:00:00.000,2025-11-09 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287551516",HKI,AD_HK_000002,CU_PE_100007,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000008,CP_WQ_000008,TWW_UH-DMA01,"","","","","1103122918",寶山閣,Po Shan Mansion,"5F",0,"202505178427287551519",(I)(C1)太古城寶山閣5樓A室食水有水黃;奶白;所有色,E/HKI(D1),Wu Song,"91235012",840652.000000,816263.000000,2025-11-18 00:00:00.000,2025-11-18 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287554524",NTE,AD_HK_000005,CU_PE_100007,CU_EM_100001,WT_FC_000005,WO_PE_000001,CU_PE_000001,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103045019",海堤居第１２座,La Costa Block 12,"3F",0,"202505178427287554512","(M)(P1) XX街 海堤居第１２座 XF, 怪味;異味;鏽味 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Li Kui,"91235020",819990.504030,817394.814600,2025-04-28 00:00:00.000,2025-04-28 00:00:00.000,2025-05-03 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287551513",HKI,AD_HK_000002,CU_PE_100005,CU_EM_100001,WT_FC_000005,WO_PE_000002,CU_PE_000005,CP_WQ_000002,TWW_UH-DMA01,"","","","","1103122639",鳳山閣,Foong Shan Mansion,"2F",0,"202505178427287551519","(I)(S1)太古城鳳山閣2樓B室食水有天拿水,油漆",E/HKI(D1),Li Ying,"91235009",840581.000000,816300.000000,2025-11-20 00:00:00.000,2025-11-20 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287554546",HKI,AD_HK_000005,CU_PE_100007,CU_EM_100002,WT_RW_000001,WO_PE_000003,CU_PE_000007,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103044867",愉景灣醫療中心,Discovery Bay Medical Centre,"5F",0,"202505178427287554549","(M)(P1) XX街 愉景灣醫療中心 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Lu Zhishen,"91235011",819703.931000,817496.672000,2025-05-20 00:00:00.000,2025-05-20 00:00:00.000,2025-05-25 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554515",NTE,AD_HK_000005,CU_PE_100007,CU_EM_100002,WT_RW_000001,WO_PE_000003,CU_PE_000007,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103044972",海堤居第１座,La Costa Block 1,"4F",0,"202505178427287554512","(M)(P1) XX街 海堤居第１座 XF, 怪味;異味;鏽味 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Lu Zhishen,"91235011",819886.517710,817411.551480,2025-04-19 00:00:00.000,2025-04-19 00:00:00.000,2025-04-24 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554513",NTE,AD_HK_000005,CU_PE_100005,CU_EM_100001,WT_FC_000005,WO_PE_000002,CU_PE_000005,CP_WQ_000002,TWW_UH-DMA01,"","","","","1103044974",海堤居第９座,La Costa Block 9,"2F",0,"202505178427287554512","(M)(P1) XX街 海堤居第９座 XF, 天拿水,油漆 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Li Ying,"91235009",819953.233460,817418.588230,2025-04-17 00:00:00.000,2025-04-17 00:00:00.000,2025-04-22 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554550",HKI,AD_HK_000005,CU_PE_100003,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000001,CP_WQ_000001,TWW_UH-DMA01,"","","","","1103044860",愉景灣康樂會,Discovery Bay Residents Club,"2F",0,"202505178427287554549","(M)(P1) XX街 愉景灣康樂會 XF, 集水區 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Xu Ning,"91235016",819683.359510,817449.025500,2025-05-24 00:00:00.000,2025-05-24 00:00:00.000,2025-05-29 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554547",HKI,AD_HK_000005,CU_PE_100007,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000008,CP_WQ_000008,TWW_UH-DMA01,"","","","","1103044832",水滸坊,Housing Authority Headquarters,"6F",0,"202505178427287554549","(M)(P1) XX街 水滸坊 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Wu Song,"91235012",819715.108000,817506.370000,2025-05-21 00:00:00.000,2025-05-21 00:00:00.000,2025-05-26 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287551518",HKI,AD_HK_000002,CU_PE_100001,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000010,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122935",怡山閣,Yee Shan Mansion,"8F",0,"202505178427287551519",(I)(P1)太古城怡山閣8樓A室食水有黑點;黑粒,E/HKI(D1),Zhang Qing,"91235014",840543.000000,816262.000000,2025-11-17 00:00:00.000,2025-11-17 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287551522",HKI,AD_HK_000002,CU_PE_100005,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000003,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122639",鳳山閣,Foong Shan Mansion,"5F",0,"202505178427287551519",(I)(P1)太古城鳳山閣5樓C室食水有黑點;黑粒,E/HKI(D1),Dai Zong,"91235018",840581.000000,816300.000000,2025-11-17 00:00:00.000,2025-11-17 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287551519",HKI,AD_HK_000002,CU_PE_100002,CU_EM_100001,WT_FC_000005,WO_PE_000003,CU_PE_000011,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122336",富山閣,Fu Shan Mansion,"9F",0,"",(I)(P1)太古城富山閣9樓A室食水有黑點;黑粒,E/HKI(D1),Yang Zhi,"91235015",840543.000000,816338.000000,2025-11-15 00:00:00.000,2025-11-15 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287551524",HKI,AD_HK_000002,CU_PE_100007,CU_EM_100001,WT_FC_000005,WO_PE_000001,CU_PE_000001,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122336",富山閣,Fu Shan Mansion,"3F",0,"202505178427287551519",(I)(P1)太古城富山閣3樓C室食水有黑點;黑粒,E/HKI(D1),Li Kui,"91235020",840543.000000,816338.000000,2025-11-19 00:00:00.000,2025-11-19 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287554510",NTE,AD_HK_000005,CU_PE_100005,CU_EM_100002,WT_FC_000005,WO_PE_000003,CU_PE_000002,CP_WQ_000002,TWW_UH-DMA01,"","","","","1103045019",海堤居第１２座,La Costa Block 12,"6F",0,"202505178427287554512","(M)(P1) XX街 海堤居第１２座 XF, 天拿水,油漆 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Hu Yanzhuo,"91235006",819990.504030,817394.814600,2025-04-14 00:00:00.000,2025-04-14 00:00:00.000,2025-04-19 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554518",NTE,AD_HK_000005,CU_PE_100001,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000010,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103044974",海堤居第９座,La Costa Block 9,"8F",0,"202505178427287554512","(M)(P1) XX街 海堤居第９座 XF, 怪味;異味;鏽味 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Zhang Qing,"91235014",819953.233460,817418.588230,2025-04-22 00:00:00.000,2025-04-22 00:00:00.000,2025-04-27 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287551514",HKI,AD_HK_000002,CU_PE_100007,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000006,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122336",富山閣,Fu Shan Mansion,"3F",0,"202505178427287551519",(I)(P1)太古城富山閣3樓A室食水有黑點;黑粒,E/HKI(D1),Zhu Tong,"91235010",840543.000000,816338.000000,2025-11-16 00:00:00.000,2025-11-16 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287554522",NTE,AD_HK_000005,CU_PE_100005,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000003,CP_WQ_000006,TWW_UH-DMA01,"","","","","1103044972",海堤居第１座,La Costa Block 1,"10F",0,"202505178427287554512","(M)(P1) XX街 海堤居第１座 XF, 沙粒 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Dai Zong,"91235018",819886.517710,817411.551480,2025-04-26 00:00:00.000,2025-04-26 00:00:00.000,2025-05-01 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554552",HKI,AD_HK_000005,CU_PE_100005,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000003,CP_WQ_000006,TWW_UH-DMA01,"","","","","1103044867",愉景灣醫療中心,Discovery Bay Medical Centre,"4F",0,"202505178427287554549","(M)(P1) XX街 愉景灣醫療中心 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Dai Zong,"91235018",819703.931000,817496.672000,2025-05-26 00:00:00.000,2025-05-26 00:00:00.000,2025-05-31 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554548",HKI,AD_HK_000005,CU_PE_100007,CU_EM_100002,WT_PE_000002,WO_PE_000002,CU_PE_000009,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103044867",愉景灣醫療中心,Discovery Bay Medical Centre,"7F",0,"202505178427287554549","(M)(P1) XX街 愉景灣醫療中心 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Dong Ping,"91235013",819703.931000,817496.672000,2025-05-22 00:00:00.000,2025-05-22 00:00:00.000,2025-05-27 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554545",HKI,AD_HK_000005,CU_PE_100007,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000006,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103044860",愉景灣康樂會,Discovery Bay Residents Club,"4F",0,"202505178427287554549","(M)(P1) XX街 愉景灣康樂會 XF, 集水區 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Zhu Tong,"91235010",819683.359510,817449.025500,2025-05-19 00:00:00.000,2025-05-19 00:00:00.000,2025-05-24 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554512",NTE,AD_HK_000005,CU_PE_100002,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000004,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103044972",海堤居第１座,La Costa Block 1,"7F",0,"","(M)(P1) XX街 海堤居第１座 XF, 怪味;異味;鏽味 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Chai Jin,"91235008",819886.517710,817411.551480,2025-04-16 00:00:00.000,2025-04-16 00:00:00.000,2025-04-21 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287551512",HKI,AD_HK_000002,CU_PE_100002,CU_EM_100002,WT_FC_000005,WO_PE_000002,CU_PE_000004,CP_WQ_000005,TWW_UH-DMA01,"","","","","1103122935",怡山閣,Yee Shan Mansion,"7F",0,"202505178427287551519",(I)(P1)太古城怡山閣7樓A室食水有黑點;黑粒,E/HKI(D1),Chai Jin,"91235008",840543.000000,816262.000000,2025-11-18 00:00:00.000,2025-11-18 00:00:00.000,2025-11-18 00:00:00.000,2026-01-12 20:31:54.471,2026-01-12 20:31:54.471
"202505178427287554542",HKI,AD_HK_000005,CU_PE_100006,CU_EM_100001,WT_RW_000001,WO_PE_000001,CU_PE_000003,CP_WQ_000008,TWW_UH-DMA01,"","","","","1103044832",水滸坊,Housing Authority Headquarters,"7F",0,"202505178427287554549","(M)(P1) XX街 水滸坊 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Hua Rong,"91235007",819715.108000,817506.370000,2025-05-16 00:00:00.000,2025-05-16 00:00:00.000,2025-05-21 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554554",HKI,AD_HK_000005,CU_PE_100007,CU_EM_100001,WT_FC_000005,WO_PE_000001,CU_PE_000001,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103044860",愉景灣康樂會,Discovery Bay Residents Club,"6F",0,"202505178427287554549","(M)(P1) XX街 愉景灣康樂會 XF, 集水區 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Li Kui,"91235020",819683.359510,817449.025500,2025-05-28 00:00:00.000,2025-05-28 00:00:00.000,2025-06-02 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554551",HKI,AD_HK_000005,CU_PE_100004,CU_EM_100001,WT_FC_000005,WO_PE_000002,CU_PE_000001,CP_WQ_000008,TWW_UH-DMA01,"","","","","1103044832",水滸坊,Housing Authority Headquarters,"3F",0,"202505178427287554549","(M)(P1) XX街 水滸坊 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Suo Chao,"91235017",819715.108000,817506.370000,2025-05-25 00:00:00.000,2025-05-25 00:00:00.000,2025-05-30 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554521",NTE,AD_HK_000005,CU_PE_100004,CU_EM_100001,WT_FC_000005,WO_PE_000002,CU_PE_000001,CP_WQ_000008,TWW_UH-DMA01,"","","","","1103045019",海堤居第１２座,La Costa Block 12,"9F",0,"202505178427287554512","(M)(P1) XX街 海堤居第１２座 XF, 水黃;奶白;所有色 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Suo Chao,"91235017",819990.504030,817394.814600,2025-04-25 00:00:00.000,2025-04-25 00:00:00.000,2025-04-30 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
"202505178427287554523",NTE,AD_HK_000005,CU_PE_100006,CU_EM_100001,WT_PE_000002,WO_PE_000003,CU_PE_000007,CP_WQ_000003,TWW_UH-DMA01,"","","","","1103044974",海堤居第９座,La Costa Block 9,"2F",0,"202505178427287554512","(M)(P1) XX街 海堤居第９座 XF, 怪味;異味;鏽味 管理處袁小姐 TEL:2600 4100/要求到場前通知",E/HKI(D6),Liu Tang,"91235019",819953.233460,817418.588230,2025-04-27 00:00:00.000,2025-04-27 00:00:00.000,2025-05-02 00:00:00.000,2025-12-12 00:00:00.000,2025-12-12 00:00:00.000
